CODIGO DE CLASE,CODIGO DE FAMILIA,DESCRIPCION DE CLASE
101015,1010,101015-ANIMALES DE GRANJA
101016,1010,101016-PÁJAROS Y AVES DE CORRAL
101017,1010,101017-PECES
101018,1010,101018-MARISCOS E INVERTEBRADOS ACUÁTICOS
101019,1010,101019-INSECTOS
101020,1010,101020-ANIMALES SALVAJES
101113,1011,101113-TRATAMIENTOS PARA LOS ANIMALES DOMÉSTICOS Y ACCESORIOS Y EQUIPO
101215,1012,101215-PIENSO PARA GANADO
101216,1012,101216-ALIMENTO PARA PÁJAROS Y AVES DE CORRAL
101217,1012,101217-ALIMENTO PARA PECES
101218,1012,101218-ALIMENTO PARA PERROS Y GATOS
101219,1012,101219-ALIMENTO PARA ROEDORES
101220,1012,101220-ALIMENTO PARA REPTILES
101221,1012,101221-COMIDA PARA ANIMALES VARIADOS
101315,1013,101315-COBERTIZOS PARA ANIMALES
101316,1013,101316-RECIPIENTES PARA ANIMALES
101317,1013,101317-HÁBITAT PARA ANIMALES
101415,1014,101415-TALABARTERÍA
101416,1014,101416-ARNESES
101515,1015,101515-SEMILLAS Y PLÁNTULAS VEGETALES
101516,1015,101516-SEMILLAS DE CEREALES
101517,1015,101517-SEMILLAS Y PLÁNTULAS DE HIERBA Y FORRAJE
101518,1015,101518-SEMILLAS Y PLÁNTULAS DE ESPECIAS
101519,1015,"101519-SEMILLAS, BULBOS, PLÁNTULAS Y ESQUEJES DE FLORES"
101520,1015,101520-SEMILLAS Y ESQUEJES DE ÁRBOLES Y ARBUSTOS
101521,1015,101521-RESIDUOS QUE NO SEAN DE PIENSOS
101522,1015,101522-SEMILLAS DE CULTIVOS FIBROSOS Y SEMILLEROS
101615,1016,101615-ÁRBOLES Y ARBUSTOS
101616,1016,101616-PLANTAS FLORALES
101618,1016,101618-PLANTAS SIN FLOR
101619,1016,101619-PRODUCTOS FLORALES SECOS
101715,1017,101715-ABONOS ORGÁNICOS Y NUTRIENTES PARA PLANTAS
101716,1017,101716-ABONOS QUÍMICOS Y NUTRIENTES PARA PLANTAS
101717,1017,101717-HERBICIDAS
101718,1017,101718-ACONDICIONADORES DE SUELOS
101915,1019,101915-PESTICIDAS O REPELENTES DE PLAGAS
101917,1019,101917-DISPOSITIVOS PARA CONTROL DE PLAGAS
102015,1020,102015-ROSALES VIVOS AZULES O LAVANDA O PÚRPURA
102016,1020,102016-ROSALES VIVOS CHOCOLATE O MARRÓN
102017,1020,102017-ROSALES VIVOS CREMA
102018,1020,102018-ROSALES VIVOS VERDES O LIMA
102019,1020,102019-ROSALES VIVOS ROSADO CLARO
102020,1020,102020-ROSALES VIVOS MULTICOLOR ROSADOS
102021,1020,102021-ROSALES VIVOS ANARANJADOS
