CODIGO DE PRODUCTO,CODIGO DE CLASE,DESCRPCION DE PRODUCTO
1010151-,101015,10101501-GATOS
1010152-,101015,10101502-PERROS
1010153-,101015,10101504-VISÓN
1010154-,101015,10101505-RATAS
1010155-,101015,10101506-CABALLOS
1010156-,101015,10101507-OVEJAS
1010157-,101015,10101508-CABRAS
1010158-,101015,10101509-ASNOS
1010159-,101015,10101510-RATONES
10101510-,101015,10101511-CERDOS
10101511-,101015,10101512-CONEJOS
10101512-,101015,10101513-COBAYAS O CONEJILLOS DE INDIAS
10101513-,101015,10101514-PRIMATES
10101514-,101015,10101515-ARMADILLOS
10101515-,101015,10101516-GANADO VACUNO
10101516-,101015,10101517-CAMELLOS
1010161-,101016,10101601-POLLOS VIVOS
1010162-,101016,10101602-PATOS VIVOS
1010163-,101016,10101603-PAVOS VIVOS
1010164-,101016,10101604-GANSOS VIVOS
1010165-,101016,10101605-FAISANES VIVOS
1010171-,101017,10101701-SALMÓN VIVOS
1010172-,101017,10101702-TRUCHA VIVA
1010173-,101017,10101703-TILAPIA VIVA
1010174-,101017,10101704-CARPA VIVA
1010175-,101017,10101705-ANGUILAS VIVAS
1010181-,101018,10101801-CAMARÓN VIVO
1010182-,101018,10101802-ALMEJAS VIVAS
1010183-,101018,10101803-MEJILLONES VIVOS
1010184-,101018,10101804-OSTRAS VIVAS
1010185-,101018,10101805-CANGREJOS VIVOS
1010186-,101018,10101806-ABULONES VIVOS
1010187-,101018,10101807-PULPO VIVO
1010188-,101018,10101808-CALAMAR VIVO
1010189-,101018,10101809-SANGUIJUELAS 
1010191-,101019,10101901-MARIPOSAS
1010192-,101019,10101902-ESCARABAJOS
1010193-,101019,10101903-ABEJAS
1010194-,101019,10101904-GUSANOS DE SEDA
1010201-,101020,10102001-ELEFANTES
1010202-,101020,10102002-ZORROS VIVOS
1011131-,101113,10111301-JUGUETES PARA MASCOTAS
1011132-,101113,10111302-PRODUCTOS PARA EL ASEO Y CUIDADO DE MASCOTAS 
1011133-,101113,10111303-EQUIPO PARA EL MANEJO DE DESPERDICIOS DE LAS MASCOTAS
1011134-,101113,10111304-TAZONES O EQUIPO PARA ALIMENTACIÓN DE MASCOTAS
1011135-,101113,10111305-TRATAMIENTOS MEDICADOS PARA MASCOTAS
1011136-,101113,10111306-KITS PARA EL ENTRENAMIENTO DE MASCOTAS DOMÉSTICAS
1011137-,101113,10111307-COBIJAS PARA MASCOTAS
1012151-,101215,10121501-SALVADO DE TRIGO PURO
1012152-,101215,10121502-AVENA PARA FORRAJE
1012153-,101215,10121503-MAÍZ PARA FORRAJE
1012154-,101215,10121504-SORGO PARA FORRAJE
1012155-,101215,10121505-HENO
1012156-,101215,10121506-TORTAS OLEAGINOSAS
1012157-,101215,10121507-FORRAJE COMPUESTO
1012161-,101216,10121601-ALIMENTO VIVO PARA AVES
1012162-,101216,10121602-ALPISTE
1012163-,101216,10121603-PASA BOCAS O COMIDA RECREACIONAL PARA AVES
1012164-,101216,10121604-ALIMENTO AVÍCOLA
1012171-,101217,10121701-SALMUERA FRESCA O CONGELADA
1012172-,101217,10121702-ALIMENTO GRANULADO PARA PECES
1012173-,101217,10121703-ALIMENTO EN HOJUELAS PARA PECES
1012181-,101218,10121801-COMIDA SECA PARA PERROS
1012182-,101218,10121802-COMIDA HÚMEDA PARA PERROS 
1012183-,101218,10121803-LECHE PARA PERROS O GATOS
1012184-,101218,10121804-COMIDA SECA PARA GATOS
1012185-,101218,10121805-COMIDA HÚMEDA PARA GATOS 
1012186-,101218,10121806-PASA BOCAS O COMIDA RECREACIONAL PARA GATOS O PERROS
1012191-,101219,10121901-COMIDA GRANULADA PARA ROEDORES
1012201-,101220,10122001-COMIDA GRANULADA PARA REPTILES
1012202-,101220,10122002-COMIDA HÚMEDA PARA REPTILES 
1012203-,101220,10122003-COMIDA VIVA PARA REPTILES
1012211-,101221,10122101-COMIDA PARA CERDOS
1012212-,101221,10122102-COMIDA PARA VISONES
1012213-,101221,10122103-COMIDA PARA MONOS
1012214-,101221,10122104-COMIDA PARA CONEJOS
1013151-,101315,10131506-ESTABLOS PARA GANADO
1013152-,101315,10131507-CASAS PARA MASCOTAS DOMESTICADAS
1013153-,101315,10131508-CAMAS PARA MASCOTAS
1013161-,101316,10131601-JAULAS O SUS ACCESORIOS
1013162-,101316,10131602-PERRERAS
1013163-,101316,10131603-EQUIPAJE PARA EL TRANSPORTE DE ANIMALES
1013164-,101316,10131604-CORREAS PARA PERROS
1013171-,101317,10131701-TERRARIOS
1013172-,101317,10131702-ACUARIOS
1014151-,101415,10141501-SILLAS DE MONTAR
1014152-,101415,10141502-FUSTAS Y LÁTIGOS
1014153-,101415,10141503-HERRADURAS PARA CABALLO
1014154-,101415,10141504-HERRADURAS PARA MULA
1014155-,101415,10141505-SILLÍN O PELERO
1014161-,101416,10141601-BRIDAS
1014162-,101416,10141602-YUGOS
1014163-,101416,10141603-BOCADOS PARA CABALLOS
1014164-,101416,10141604-RIENDAS
1014165-,101416,10141605-ESTRIBOS
1014166-,101416,10141606-CORREAS O TRAÍLLAS
1014167-,101416,10141607-ARNESES DE CUELLO PARA ANIMALES
1014168-,101416,10141608-ARNESES O SUS ACCESORIOS
1014169-,101416,10141609-SUJETADORES
10141610-,101416,10141610-BOZALES
10141611-,101416,10141611-SOPORTES PARA CORREAS
1015151-,101515,10151501-SEMILLAS O PLÁNTULAS DE FRÍJOL
1015152-,101515,10151502-SEMILLAS O PLÁNTULAS DE ZANAHORIA
1015153-,101515,10151503-SEMILLAS O PLÁNTULAS DE APIO
1015154-,101515,10151504-SEMILLAS O PLÁNTULAS DE CHILES
1015155-,101515,10151505-SEMILLAS O PLÁNTULAS DE CALABACÍN
1015156-,101515,10151506-SEMILLAS O PLÁNTULAS DE ALVERJA
1015157-,101515,10151507-SEMILLAS O PLÁNTULAS DE PEPINO COHOMBRO
1015158-,101515,10151508-SEMILLAS O PLÁNTULAS DE BERENJENA
1015159-,101515,10151509-SEMILLAS O PLÁNTULAS DE ENDIVIAS
10151510-,101515,10151510-SEMILLAS O PLÁNTULAS DE AJO
10151511-,101515,10151511-SEMILLAS O PLÁNTULAS DE PUERRO
10151512-,101515,10151512-SEMILLAS O PLÁNTULAS DE LECHUGA
10151513-,101515,10151513-SEMILLAS O PLÁNTULAS DE MAÍZ
10151514-,101515,10151514-SEMILLAS O PLÁNTULAS DE MELÓN
10151515-,101515,10151515-SEMILLAS O PLÁNTULAS CEBOLLA
10151516-,101515,10151516-SEMILLAS O PLÁNTULAS DE SOYA
10151517-,101515,10151517-SEMILLAS O PLÁNTULAS DE ESPINACA
10151518-,101515,10151518-SEMILLAS O PLÁNTULAS DE TOMATE
10151519-,101515,10151519-SEMILLAS O PLÁNTULAS DE NABO
10151520-,101515,10151520-SEMILLAS O PLÁNTULAS DE ACELGA
10151521-,101515,10151521-SEMILLAS O PLÁNTULAS DE PIMIENTO MORRÓN
10151522-,101515,10151522-SEMILLAS O PLÁNTULAS DE REMOLACHA
10151523-,101515,10151523-SEMILLAS O PLÁNTULAS DE COLIFLOR
10151524-,101515,10151524-SEMILLAS O PLÁNTULAS DE PEREJIL
10151525-,101515,10151525-SEMILLAS O PLÁNTULAS DE BRÓCOLI
10151526-,101515,10151526-SEMILLAS O PLÁNTULAS DE REPOLLO
10151527-,101515,10151527-SEMILLAS O PLÁNTULAS DE PAPA
10151528-,101515,10151528-SEMILLAS O PLÁNTULAS DE BATATA
10151529-,101515,10151529-SEMILLAS O PLÁNTULAS DE CALABAZA
10151530-,101515,10151530-SEMILLAS O PLÁNTULAS DE RÁBANO
10151531-,101515,10151531-SEMILLAS O PLÁNTULAS DE REPOLLITOS DE BRUSELAS
10151532-,101515,10151532-SEMILLAS O PLÁNTULAS DE AHUYAMA
10151533-,101515,10151533-SEMILLAS O PLÁNTULAS DE OKRA
